cbo_name,parent_organization,activity_type,activity_type_other,date_of_activity,activity_end_date,advertising_end_date,total_number_of_alert_sign_ups,total_people_spoken_to,City,address,description,total_number_of_houses,how_assisted,total_number_assisted,event_name,audience_details,education_grade,activity_total_material_dist,activity_collateral_dtls,activity_social_media_chan,total_number_nudgedalerted,total_number_of_calls,total_number_of_pledge_cards,total_number_of_impressions,impression_data_accuracy_confid,total_htc_of_impressions,htc_data_accuracy_confidence,immigrants_refugees,middle_eastern_and_north_africa,homeless_individuals_and_famili,farmworkers,veterans,latinos,asian_americans_pacific_islande,african_americans,native_americans_tribal_communi,children_ages_0_5,lesbian_gay_bisexual_transgende,limited_english_proficient_indi,people_with_disabilities,seniorsolder_adults,low_broadband_subscription_rate,htc_breakdown_data_confidence,lang_arabic,lang_armenian,lang_assyrian_neo_aramaic,lang_cantonese,lang_chaldean_neo_aramaic,lang_chinese,lang_farsi,lang_filipino,lang_hindi,lang_hmong,lang_iu_mien,lang_japanese,lang_khmer,lang_korean,lang_mandarin,lang_min_nan_chinese,lang_portuguese,lang_punjabi,lang_russian,lang_spanish,lang_tagalog,lang_telugu,lang_thai,lang_ukrainian,lang_vietnamese,lang_other_info,lang_breakdown_data_confidence,funding_state_allocated,funding_county_direct,funding_acbo_direct,funding_foundation,funding_private,funding_volunteer_hours,qac_total_had_info_no_census,qac_total_completed_pc,qac_total_completed_phone,qac_total_completed_uscb_phone
CAP OC,Charitable Ventures,collateral,,6/23/2020,,,,,,"631 s brookhurst st #107, anaheim 92804",,,,,,,,,,,,,,110,EXACT,100,high,,,,,,,,,,110,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP OC ,Charitable Ventures,nudgealert,email,4/1/2020,,,,,,"11870 monarch st, garden grove 92841",,,,,,,,,,,,,,123,exact,100,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,low,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,Saddleback Church Chinese Fellowship,4/6/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,423,medium,100,high,,,,,,,423,,,,,,,,,high,,,,,,423,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,OCHC HYE PTA,4/6/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,170,high,100,high,,,,,,,170,,,,,,,,,high,,,,,,170,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,WHS Chinese PTA,4/6/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,239,medium,100,high,,,,,,,239,,,,,,,,,high,,,,,,239,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,22600 lambert st #1006 lake forest 92630,,,,,,,,,,,,,,100,exact,100,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,Mariners Church,4/6/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,379,medium,100,high,,,,,,,379,,,,,,,,,high,,,,,,379,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,CA Chinese Daily Circle,4/6/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,408,medium,100,high,,,,,,,408,,,,,,,,,high,,,,,,408,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
CAP OC ,Charitable Ventures,flyers,,5/1/2020,6/30/2020,,,,,18700 harvard ave irvine 92612,,,,,,,,,,,,,,100,exact,100,high,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Southland Integrated Services, Inc.",Charitable Ventures,phone_banking,,4/6/2020,4/13/2020,,,,,orange,Phone Banking encourage complete of census and important dates,,,,,,,,,,,,,2500,,80,medium,60,,,,,,50,,,5,,65,,10,,medium,,,,,,5,,,,,,,,,,,,,,45,,,,,20,,medium,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,Agape Fellowship,4/6/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,74,high,100,high,,,,,,,74,,,,,,,,,high,,,,,,74,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,Friends of OCHC,4/6/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,66,very_high,100,high,,,,,,,66,,,,,,,,,high,,,,,,66,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,IUSD Chinese PTA,4/6/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,499,medium,100,high,,,,,,,499,,,,,,,,,high,,,,,,499,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
OC Herald Center,Chinese Christian Herald Crusades Los Angeles,other,Josephine Huang- principal of?·EFCI Evergreen Senior College,4/7/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,400,high,100,very_high,,,,,,,400,,,,,,,,,very_high,,,,,,400,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
OC Herald Center,Charitable Ventures,other,Herald Monthly  - Master List,4/10/2020,,,,,Irvine,"18025 sky park cir #b, irvine ca 92614",,,,,,,,,,,,,,750,medium,100,high,,,,,,,750,,,,,,,,,high,,,,,,750,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,4/13/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,39,exact,100,exact,,,,,,,,,,39,,,,,,very_high,,,,,,,,,,,,,,,,,,,,12,,,,,,,very_high,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/14/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
OCAPICA,Charitable Ventures,social_media,social media,7/10/2020,,,,,,"12912 brookhurst st, garden grove 92840",,,,,,,,,,,,,,6369,high,80,medium,,,,,,1000,5000,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,4/20/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,35,exact,100,exact,,,,,,,,,,35,,,,,,very_high,,,,,,,,,,,,,,,,,,,,11,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,4/27/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,32,exact,100,exact,,,,,,,,,,32,,,,,,very_high,,,,,,,,,,,,,,,,,,,,10,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,5/4/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,31,exact,100,exact,,,,,,,,,,31,,,,,,very_high,,,,,,,,,,,,,,,,,,,,10,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,5/11/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,54,exact,100,exact,,,,,,,,,,54,,,,,,very_high,,,,,,,,,,,,,,,,,,,,17,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,5/18/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,43,exact,100,exact,,,,,,,,,,43,,,,,,very_high,,,,,,,,,,,,,,,,,,,,13,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,5/25/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,38,exact,100,exact,,,,,,,,,,38,,,,,,very_high,,,,,,,,,,,,,,,,,,,,13,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,6/1/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,39,exact,100,exact,,,,,,,,,,39,,,,,,very_high,,,,,,,,,,,,,,,,,,,,12,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,6/8/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,55,exact,100,exact,,,,,,,,,,55,,,,,,very_high,,,,,,,,,,,,,,,,,,,,17,,,,,,,very_high,,,,,,,,,,
CAP OC ,Charitable Ventures,collateral,,8/26/2020,,,,,,"10841 garza ave, anaheim 92804",,,,,,,,,,,,,,179,exact,100,high,,,,,,,,,,179,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,6/15/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,42,exact,100,exact,,,,,,,,,,42,,,,,,very_high,,,,,,,,,,,,,,,,,,,,13,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,6/22/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,48,exact,100,exact,,,,,,,,,,48,,,,,,very_high,,,,,,,,,,,,,,,,,,,,15,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,6/29/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,50,exact,100,exact,,,,,,,,,,50,,,,,,very_high,,,,,,,,,,,,,,,,,,,,14,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,7/6/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,48,exact,100,exact,,,,,,,,,,48,,,,,,very_high,,,,,,,,,,,,,,,,,,,,15,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,7/13/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,37,exact,100,exact,,,,,,,,,,37,,,,,,very_high,,,,,,,,,,,,,,,,,,,,12,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,7/20/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,44,exact,100,exact,,,,,,,,,,44,,,,,,very_high,,,,,,,,,,,,,,,,,,,,14,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,7/27/2020,,,,,Orange,"1120 w. la veta ave., orange 92868",,,,,,,,,,,,,,57,exact,100,exact,,,,,,,,,,57,,,,,,very_high,,,,,,,,,,,,,,,,,,,,18,,,,,,,very_high,,,,,,,,,,
Help Me Grow,Charitable Ventures,other,Script on toll free phone line - # of callers ,4/6/2020,,,,,Orange,"1120 w. la veta ave., orange 928868",,,,,,,,,,,,,,39,exact,100,exact,,,,,,,,,,39,,,,,,very_high,,,,,,,,,,,,,,,,,,,,12,,,,,,,very_high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver of the importance of census through the drive-thru food drive.,3/19/2020,,,,,Orange,"309 n rampart st, orange 92868",,,,,,,,,,,,,,395,exact,100,very_high,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver of the importance of census through the drive-thru food drive.,3/23/2020,,,,,Orange,"309 n rampart st, orange 92868",,,,,,,,,,,,,,518,exact,100,very_high,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver of the importance of census through the drive-thru food drive.,3/26/2020,,,,,Orange,"309 n rampart st, orange 92868",,,,,,,,,,,,,,426,exact,100,very_high,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver of the importance of census through the drive-thru food drive.,3/30/2020,,,,,Orange,"309 n rampart st, orange 92868",,,,,,,,,,,,,,414,exact,100,very_high,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver of the importance of census through the drive-thru food drive.,4/7/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,1023,very_high,95,very_high,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,7/14/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,400,high,95,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,7/21/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,550,high,95,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,7/28/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,550,high,95,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,8/4/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,550,high,95,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,8/11/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,550,high,95,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,9/8/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,550,high,95,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,9/15/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,550,high,95,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,9/22/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,550,high,95,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,9/29/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,550,high,95,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,10/6/2020,,,,,Orange,"309 n rampart street, orange 92868",,,,,,,,,,,,,,550,high,95,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,6/23/2020,,,,,Orange,"309 n rampart, orange 92868",,,,,,,,,,,,,,481,high,95,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/15/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,1800,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,7/7/2020,,,,,Orange,"309 n rampart, orange 92868",,,,,,,,,,,,,,410,high,95,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
The LGBTQ Center OC,Charitable Ventures,flyers,Outreach event,3/7/2020,3/7/2020,,,25,,"1450 17th st, santa ana 92705",Bree Terronez attended the Legacy Resource Fair and there distributed census flyers to individuals we interacted with,,,25,Legacy Resource Fair,,,25,General Census Flyersa,,,,,25,high,75,medium,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,EDD assistance and reminding individuals to filled out the Census.,6/2/2020,6/8/2020,,,,Orange,"309 n rampart, orange, 92848",,,,,,,,,,,,,,36,very_high,80,very_high,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/5/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,5/4/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,6/2/2020,,,,,Orange,"309 n rampart, orange, 92848",,,,,,,,,,,,,,163,high,95,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,6/3/2020,,,,,Orange,"309 n rampart, orange, 92848",,,,,,,,,,,,,,97,high,95,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,EDD assistance and reminding individuals to filled out the Census.,7/1/2020,7/20/2020,,,,Orange,"309 n rampart, orange, 92848",,,,,,,,,,,,,,52,very_high,80,very_high,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Orange County Labor Federarion ,Charitable Ventures,other,EDD assistance and reminding individuals to filled out the Census.,3/24/2020,4/23/2020,,,,Orange,"309 n. rampart street, suite a, orange 92868",,,,,,,,,,,,,,608,very_high,75,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange County Labor Federarion ,Charitable Ventures,other,remind every driver of the importance of census through the drive-thru food drive.,4/21/2020,,,,,Orange,"309 n. rampart street, suite a, orange 92868",,,,,,,,,,,,,,898,very_high,95,very_high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange County Labor Federarion ,Charitable Ventures,other,remind every driver of the importance of census through the drive-thru food drive.,4/23/2020,,,,,Orange,"309 n. rampart street, suite a, orange 92868",,,,,,,,,,,,,,923,very_high,95,very_high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,phone_banking,Phone banking ,5/21/2020,5/28/2020,,,,,309 n rampart st. orange 92868,,,,,,,,,,,,,,1390,high,80,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,social_media,Social Media outreach with link to fill out the Census ,5/21/2020,,,,,,"309 n. rampart street, orange 92868",,,,,,,,,,,,,,1593,high,70,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange County Labor Federarion ,Charitable Ventures,other,remind every driver of the importance of census through the drive-thru food drive.,4/28/2020,,,,,Orange,"309 n. rampart street, suite a, orange 92868",,,,,,,,,,,,,,862,very_high,95,very_high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCS,Charitable Ventures,other,Media Post,3/24/2020,,,,,Orange,orange,,,,,,,,,,,,,,26,very_high,100,very_high,26,,,,,,26,,,,,,,,,very_high,,,,,,,,,,,,,,22,,,,,,,,,,,,,very_high,,,,,,,,,,
The Cambodian Family,Charitable Ventures,other,Santa Ana Census Caravan,5/28/2020,,,,,Orange,orange,,,,,,,,,,,,,,10000,high,90,very_high,9000,,,,,,,,,,,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,very_high,,,,,,,,,,
Hope Community Services ,Charitable Ventures,other,food distribution,8/28/2020,,,,,Orange,orange,food distribution using Census tote bags  with translated Census flyers ,,,51,Food Distribution,,,,,,,,,51,exact,100,exact,51,,,,,,,,,,,51,,51,,exact,,,,,,,,,,,,,,,,,,,,,,,,,51,,exact,,,,,,,,,,
CAP OC,Charitable Ventures,other,text banking,10/7/2020,10/15/2020,,,,Orange,orange,,,,,,,,,,,,,,89,high,100,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,speaking_engagement,Census presentation,2/27/2020,,,,,,"8530 stanton ave, buena park, ca, 90620",,,,,,,,,,,,,,348,very_high,90,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
CAP OC,Charitable Ventures,other,text banking,10/12/2020,10/15/2020,,,,Orange,orange,,,,,,,,,,,,,,123,high,100,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,123,,,,,,,high,,,,,,,,,,
Latino Health Access,Central Valley Opportunity Center,other,,10/14/2020,,,,,Orange,orange,Texts to COVID-19 Call Center callers,,,,,,,,,,,,,339,exact,100,very_high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
The LGBTQ Center OC,Charitable Ventures,other,"Hosted a zoom hangout where we went ahead and caught with some members of our community, while at the same time updating them about the Census",5/5/2020,5/5/2020,,,25,Santa Ana,"1605 n. spurgeon street, santa ana 92701","Hosted a meeting through zoom/phone were we discussed a basic census training so that we could be better informed about the census, and then discussed the logistics for the Census phone bank event.",,,,,,,,,,,,,25,exact,80,high,6,,,,,8,,2,,,19,,,2,,high,,,,,,,,,,,,,,,,,,,,7,,,,,,,high,,,,,,,,,,
The Cambodian Family,Charitable Ventures,other,Food Drive,9/8/2020,,,,,Santa Ana,"1626 east 4th street, santa ana 92701",,,,,,,,,,,,,,25,exact,100,exact,,,,,,,25,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,4/14/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
OCAPICA,Charitable Ventures,social_media,social media,4/30/2020,,,,,,"12912 brookhurst st, garden grove 92840",,,,,,,,,,,,,,10358,medium,85,medium,,,,,,1000,7000,500,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,4/26/2020,,,,,,"1626 e 4th st, santa ana 92701",,,,,,,,,,,,,,2150,high,90,very_high,1935,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver to feel out the census through the drive-thru food drive.,5/27/2020,,,,,,309 n rampart st. orange 92868,,,,,,,,,,,,,,410,high,95,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Southland Integrated Services, Inc",Charitable Ventures,other,Outreach to Vietnamese Alliance Church in Santa Ana,3/7/2020,3/7/2020,,,,Santa Ana,"2130 n grand ave, santa ana 92705",,,,,,,,,,,,,,153,very_high,90,medium,80,,,,,,100,,,,,100,10,100,80,high,,,,,,,,,,,,,,,,,,,,,,,,,100,,very_high,,,,,,,,,,
Coalition of Orange County Community Health Centers ,Charitable Ventures,other,via-phone enrollment outreach,4/20/2020,4/24/2020,,,49,Santa Ana,"515 n cabrilllo park drive, suite 225 santa ana 92701",We assist consumers through enrollments into Covered CA and Medi-cal. We include education on the importance on being counted in the Census.,,Via-Phone,49,,OC/South County Communities,N/A,,,,,49,,49,exact,91,medium,,,,,,45,,,,,,10,,,,medium,,,,,,,,,,,,,,,,,,,,45,,,,,,,medium,,,,,,,,,,
OCAPICA,Charitable Ventures,social_media,social media,5/30/2020,,,,,,"12912 brookhurst st, garden grove 92840",,,,,,,,,,,,,,2484,high,85,medium,,,,,,1000,1500,1000,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange County Labor Federation,Charitable Ventures,other,remind every driver of the importance of census through the drive-thru food drive.,4/14/2020,,,,,,"309 n. rampart suite a, orange 92868",,,,,,,,,,,,,,288,very_high,90,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coalition of Orange County Community Health Centers ,Charitable Ventures,other,via-phone enrollment outreach,5/4/2020,5/8/2020,,,40,Santa Ana,"515 n cabrillo park drive, suite 22 santa ana 92701",We assist consumers through enrollments into Covered CA and Medi-cal. We include education on the importance on being counted in the Census.,,Via-Phone,40,,OC/South County Communities,N/A,,,Other,,40,,40,exact,75,medium,,,,,,30,,,,,,10,,,,medium,,,,,,,,,,,,,,,,,,,,30,,,,,,,medium,,,,,,,,,,
Coalition of Orange County Community Health Centers ,Charitable Ventures,other,via-phone enrollment outreach,5/11/2020,5/15/2020,,,30,Santa Ana,"515 n cabrillo park drive, suite 22 santa ana 92701",We assist consumers through enrollments into Covered CA and Medi-cal. We include education on the importance on being counted in the Census.,,Via-Phone,30,,OC/South County Communities,N/A,,,Other,,30,,30,exact,80,medium,,,,,,24,,,,,,6,,,,medium,,,,,,,,,,,,,,,,,,,,24,,,,,,,medium,,,,,,,,,,
